no,id,cut,character,speaker_name,style_id,text,reading_hiragana,pause_ms
1,ep03_v001,ep03_vc01,タクミ,にせ,1937616896,ミナさん,みなさん。,250
2,ep03_v002,ep03_vc01,ミナ,中2,604166016,何,なに。,250
3,ep03_v003,ep03_vc01,タクミ,にせ,1937616896,冷凍庫に、昨日が入ってます,れいとうこに、きのうがはいってます。,300
4,ep03_v004,ep03_vc01,ミナ,中2,604166016,日付管理なら白板,ひづけかんりならはくばん。,250
5,ep03_v005,ep03_vc01,タクミ,にせ,1937616896,そういう昨日じゃないです,そういうきのうじゃないです。,400
6,ep03_v006,ep03_vc02,ナレーション,澤原 玄二郎,2029042368,タクミはバックヤードの冷凍庫から、小さなカップアイスを取り出した。商品名は、昨日バニラ。製造年月日は二〇七四年六月十三日。,たくみワばっくやーどのれいとうこから、ちいさなかっぷあいすをとりだした。しょうひんめいワ、きのうばにら。せいぞうねんがっぴワにせんななじゅうよねんろくがつじゅうさんにち。,400
7,ep03_v007,ep03_vc02,ナレーション,澤原 玄二郎,2029042368,注意書きには、「溶けると昨日になります。再凍結はできません」とある。,ちゅういがきにワ、とけるときのうになります。さいとうけつワできません、とある。,500
8,ep03_v008,ep03_vc03,ミナ,中2,604166016,味は？,あじワ？,250
9,ep03_v009,ep03_vc03,タクミ,にせ,1937616896,そこじゃないです,そこじゃないです。,250
10,ep03_v010,ep03_vc03,ミナ,中2,604166016,バニラなら当たり,ばにらならあたり。,250
11,ep03_v011,ep03_vc03,タクミ,にせ,1937616896,食べる前提で見ないでください,たべるぜんていでみないでください。,450
12,ep03_v012,ep03_vc04,ナレーション,澤原 玄二郎,2029042368,冷凍庫の温度表示が、マイナス十八度からマイナス十七度へ上がった。次に、マイナス十六度。,れいとうこのおんどひょうじが、まいなすじゅうはちどからまいなすじゅうななどエあがった。つぎに、まいなすじゅうろくど。,400
13,ep03_v013,ep03_vc04,タクミ,にせ,1937616896,上がってます！,あがってます！,250
14,ep03_v014,ep03_vc04,ミナ,中2,604166016,冷凍庫も疲れてる,れいとうこもつかれてる。,250
15,ep03_v015,ep03_vc04,タクミ,にせ,1937616896,精神論で温度管理しないでください,せいしんろんでおんどかんりしないでください。,450
16,ep03_v016,ep03_vc05,ナレーション,澤原 玄二郎,2029042368,アイスの表面に水滴が浮かんだ瞬間、店内のレジが勝手に鳴った。昨日の売上履歴が表示される。缶コーヒー一本、午前二時八分、座木山辰哉。,あいすのひょうめんにすいてきがうかんだしゅんかん、てんないのれじがかってになった。きのうのうりあげりれきがひょうじされる。かんこーひーいっぽん、ごぜんにじはっぷん、ざきやまたつや。,400
17,ep03_v017,ep03_vc05,タクミ,にせ,1937616896,昨日の売上に戻ってる……,きのうのうりあげにもどってる……,350
18,ep03_v018,ep03_vc06,ナレーション,澤原 玄二郎,2029042368,カウンターの上には、飲み切ったはずの紙コップのコーヒーが半分だけ戻っていた。,かうんたーのうえにワ、のみきったはずのかみこっぷのこーひーがはんぶんだけもどっていた。,350
19,ep03_v019,ep03_vc06,ミナ,中2,604166016,コーヒーが戻った,こーひーがもどった。,250
20,ep03_v020,ep03_vc06,タクミ,にせ,1937616896,そこじゃないです！,そこじゃないです！,450
21,ep03_v021,ep03_vc07,ナレーション,澤原 玄二郎,2029042368,自動ドアが開き、汗田が入ってきた。紫のヘルメットを片手に、眉間へ深いしわを寄せている。,じどうどあがひらき、あせだがはいってきた。むらさきのへるめっとをかたてに、みけんエふかいしわをよせている。,400
22,ep03_v022,ep03_vc07,汗田竜司,阿井田 茂,1310138976,ナビが「異常地点、冷凍庫」と出した,なびが、いじょうちてん、れいとうこ、とだした。,400
23,ep03_v023,ep03_vc08,ナレーション,澤原 玄二郎,2029042368,タクミはアイスを差し出した。,たくみワあいすをさしだした。,300
24,ep03_v024,ep03_vc08,タクミ,にせ,1937616896,これです,これです。,300
25,ep03_v025,ep03_vc08,汗田竜司,阿井田 茂,1310138976,昨日バニラ……読めるが、理解はしたくない,きのうばにら……よめるが、りかいワしたくない。,450
26,ep03_v026,ep03_vc09,ナレーション,澤原 玄二郎,2029042368,汗田はラベル横の小さなコードを見た。,あせだワらべるよこのちいさなこーどをみた。,300
